SEO_ID,PERMNO,filing_dt,Issuer_Borrower_Name_Full,SDC_Deal_Number,Gross_Proceeds,utility_flag,financial_flag,realestate_flag,sample_version
2820,13954,08AUG2017,Esperion Therapeutics Inc,3136251002,151900000,0,0,0,2
3217,16162,23JAN2018,Audentes Therapeutics Inc,3205788002,201250000,0,0,0,2
4747,90978,18NOV2019,Sunpower Corp,3478667002,154000000,0,0,0,2
2024,14239,10NOV2016,Commscope Holding Co Inc,3034781002,661504343.5,0,0,0,2
278,13924,12JUN2014,Epizyme Inc,2733641002,124500000,0,0,0,2
3169,14991,09NOV2015,Atara Biotherapeutics Inc,3198617002,127750000,0,0,0,2
6661,16570,08MAR2018,Jounce Therapeutics Inc,3708539002,56250000,0,0,0,2
9798,19484,24MAY2024,Vaxcyte Inc,4280960002,1050000025,0,0,0,2
9605,19831,13JUN2024,Greenwich Lifesciences Inc,5112018012,2499997.5,0,0,0,2
8605,18772,18MAY2021,Akero Therapeutics Inc,4080809002,220017000,0,0,0,2
1767,78170,08AUG2016,SM Energy Co,2993625002,480000000,0,0,0,2
7691,17032,15NOV2021,Custom Truck One Source Inc,3833304002,104745287.5,0,0,0,2
5383,14803,08JUL2020,HealthEquity Inc,3599469002,257600000,0,1,0,2
6380,92601,03FEB2021,Northern Oil & Gas Inc,3694533002,121875000,0,0,0,2
2952,93368,10OCT2017,Eagle Bancorp Montana Inc,3164473002,19162500,0,1,0,2
10039,19826,21OCT2024,Abacus Life Inc,4317248002,80000000,0,1,0,2
7371,21601,13SEP2021,CS Disco Inc,3798766002,291500000,0,0,0,2
3445,88195,24APR2018,Sangamo Therapeutics Inc,3238090002,200037500,0,0,0,2
10835,92218,12AUG2025,TSS Inc,4442861002,51000000,0,0,0,2
9339,21600,06MAR2024,Paycor HCM Inc,4204348002,161200000,0,0,0,2
8848,20920,07AUG2023,DoubleVerify Holdings Inc,4116855002,408125000,0,0,0,2
7626,15795,08NOV2021,Surgery Partners Inc,3827679002,279000000,0,0,0,2
3650,84052,10JUL2018,ArQule Inc,3266246002,60500000,0,0,0,2
2795,14273,31JUL2017,Chegg Inc,3133389002,135000000,0,0,0,2
5151,15409,19MAY2020,Alarm.com Holdings Inc,3576527002,266781422.5,0,0,0,2
8658,18410,30MAY2023,AerSale Corp,4086663002,60600000,0,0,0,2
6227,13870,19JAN2021,Chimerix Inc,3689085002,100002500,0,0,0,2
3515,15788,21MAY2018,MyoKardia Inc,3247088002,183750000,0,0,0,2
2147,76127,09DEC2016,TETRA Technologies Inc,3047179002,99910000,0,0,0,2
2577,39642,08MAY2017,Becton Dickinson & Co,3100446002,2250375000,0,0,0,2
2365,80498,28FEB2017,Ameris Bancorp,3075799002,81375000,0,1,0,2
5943,18815,30NOV2020,Sunnova Energy International Inc,3666474002,259000000,1,0,0,2
6672,79839,08MAR2021,Itron Inc,3708091002,350000010,0,0,0,2
9368,87364,18MAR2024,QuickLogic Corp,4210298002,3560000,0,0,0,2
4723,18664,12NOV2019,NextCure Inc,3477369002,149836806,0,0,0,2
9107,19070,06DEC2023,89bio Inc,4166180002,139999998.75,0,0,0,2
8587,21554,09MAY2023,Integral Ad Science Holding Corp,4076761002,150000000,0,0,0,2
2053,14751,05OCT2015,Veritiv Corp,3037247002,72000000,0,0,0,2
5063,34666,24JUL2018,Caladrius Biosciences Inc,3567149002,4994603.46,0,0,0,2
4509,13918,21JUN2019,Arcturus Therapeutics Holdings Inc,3437857002,10875009.5,0,0,0,2
2212,77437,05JAN2017,Microbot Medical Inc,3057937012,3500000,0,0,0,2
139,14991,28JAN2015,Atara Biotherapeutics Inc,2719280002,65489994,0,0,0,2
10524,24971,13MAY2025,Loar Holdings Inc,4396813002,750690000,0,0,0,2
11475,25549,03OCT2025,Bicara Therapeutics Inc,4532242002,114800000,0,0,0,2
9037,21928,16MAY2022,IDACORP Inc,4154501002,259999987.2,1,0,0,2
8235,14815,07NOV2022,Marinus Pharmaceuticals Inc,3997886002,50000001,0,0,0,2
2236,89038,17JAN2017,Evans Bancorp Inc,3062083002,14000000,0,1,0,2
3736,14608,07AUG2018,Sabre Corp,3275072002,372750000,0,0,0,2
2000,24205,08JUL2015,NextEra Energy Inc,3030565002,1494000000,1,0,0,2
7669,17104,15NOV2021,Apellis Pharmaceuticals Inc,3830981002,350000000,0,0,0,2
3829,16705,17SEP2018,G1 Therapeutics Inc,3288908002,180000000,0,0,0,2
3296,15824,15FEB2018,Instructure Inc,3214251002,98750000,0,0,0,2
3303,15630,20FEB2018,Aimmune Therapeutics Inc,3215263002,176000000,0,0,0,2
1073,14879,01SEP2015,T2 Biosystems Inc,2825901002,34125000,0,0,0,2
6896,15071,03MAY2021,Syneos Health Inc,3736338002,571200000,0,0,0,2
3393,14257,26MAR2018,MacroGenics Inc,3228664002,95625000,0,0,0,2
4329,16173,16MAY2019,Waitr Holdings Inc,3394425002,50001800,0,0,0,2
1799,13688,15AUG2016,PG&E Corp,2995396002,309925000,1,0,0,2
5130,75233,13MAY2020,Vector Group Ltd,3574517002,57350000,0,0,0,2
4797,91832,10DEC2019,Madrigal Pharmaceuticals Inc,3488153002,129420000,0,0,0,2
2290,13167,02JUL2015,Synergy Pharmaceuticals Inc,3066123002,125000004.6,0,0,0,2
1143,75241,30MAY2014,Pioneer Natural Resources Co,2884714002,1404000000,0,0,0,2
205,57509,22JAN2013,Goodrich Petroleum Corp,2728845002,49800000,0,0,0,2
4975,18103,20FEB2020,BioSig Technologies Inc,3517303002,10000000,0,0,0,2
9039,86136,26MAY2023,Sempra,4154490002,1200000060,1,0,0,2
9126,18410,13DEC2023,AerSale Corp,4168916002,51000000,0,0,0,2
546,14763,22MAY2015,Catalent Inc,2755254002,406000000,0,0,0,2
8127,93369,08SEP2022,R1 RCM Inc,3972446002,306300000,0,0,0,2
3161,91832,18DEC2017,Madrigal Pharmaceuticals Inc,3192795002,125000075,0,0,0,2
3187,15934,16JAN2018,AveXis Inc,3203132002,400003200,0,0,0,2
2835,15065,14AUG2017,FibroGen Inc,3138620002,326000000,0,0,0,2
5160,86288,19MAY2020,CoStar Group Inc,3576797002,1499999780,0,0,0,2
6903,19945,03MAY2021,Academy Sports & Outdoors Inc,3736349002,353920000,0,0,0,2
2580,14932,10MAY2017,Middlefield Banc Corp,3103356012,16000000,0,1,0,2
527,14166,13AUG2014,NV5 Holdings Inc,2754997002,27885000,0,0,0,2
9773,61269,14MAY2024,Park Ohio Holdings Corp,4275948002,9999992.28,0,0,0,2
2263,15176,03MAR2016,Entellus Medical Inc,3064443002,60010000,0,0,0,2
10813,84819,10AUG2025,Sharplink Gaming Inc,4442354002,400000001.28,0,1,0,2
9252,23730,07FEB2024,Mineralys Therapeutics Inc,4193649012,112578781.5,0,0,0,2
9828,23570,12SEP2024,GE HealthCare Technologies Inc,4285117002,1290000000,0,0,0,2
3741,91815,06AUG2018,Central Garden & Pet Co,3274571002,185000000,0,0,0,2
5684,87404,11SEP2020,Crexendo Inc,3633843002,15400000,0,0,0,2
1735,14447,29JUL2016,Argos Therapeutics Inc,2989315002,49999999.5,0,0,0,2
9568,88504,29MAY2024,Bruker Corp,4240565002,408000000,0,0,0,2
1712,89821,20JUL2016,"BNC Bancorp,High Point, North Carolina",2986548002,55000000,0,1,0,2
4253,90539,09APR2019,PolarityTE Inc,3380035002,26756757,0,0,0,2
4307,18145,06MAY2019,Yeti Holdings Inc,3388853002,270750000,0,0,0,2
3308,16783,20FEB2018,Dova Pharmaceuticals Inc,3215549002,80000000,0,0,0,2
1752,91977,08AUG2016,B&G Foods Inc,2993454002,183750000,0,0,0,2
9402,21271,26MAR2024,Bowman Consulting Group Ltd,4214688002,49999992,0,0,0,2
61,13202,20DEC2013,Verastem Inc,2716953002,47125000,0,0,0,2
1088,84725,21NOV2013,Codorus Valley Bancorp Inc,2836846002,30000250,0,1,0,2
2914,14432,26SEP2017,Intra-Cellular Therapies Inc,3156621002,149999994.5,0,0,0,2
2255,12476,23JAN2017,Targa Resources Corp,3063310002,461200000,1,0,0,2
121,13369,06MAY2013,Clearsign Combustion Corp,2722187002,15210000,0,0,0,2
8317,15533,30APR2021,ImmunityBio Inc,4012117002,49999999.5,0,0,0,2
8072,18846,09AUG2022,Mirum Pharmaceuticals Inc,3960219002,80000003,0,0,0,2
1971,16140,07OCT2016,Twilio Inc,3016588002,280000000,0,0,0,2
3338,16705,05MAR2018,G1 Therapeutics Inc,3220906002,100300000,0,0,0,2
6029,12521,09DEC2020,Leaf Group Ltd,3671063002,30009000,0,0,0,2
8986,89900,10OCT2023,TD SYNNEX Corp,4143394002,648000000,0,0,0,2
107,91488,02FEB2015,ZIOPHARM Oncology Inc,2720986002,87500000,0,0,0,2
3972,12788,26NOV2018,Kosmos Energy Ltd,3313634002,81450000,0,0,0,2
4768,17036,03DEC2019,Cannae Holdings Inc,3484758002,214500000,0,0,0,2
8450,17104,22FEB2023,Apellis Pharmaceuticals Inc,4043221002,199999989,0,0,0,2
4716,16290,13NOV2019,Fulgent Genetics Inc,3476914002,26156250,0,0,0,2
1866,82639,08SEP2016,Impac Mortgage Holdings Inc,3007651002,39000000,0,1,0,2
9185,13954,15APR2022,Esperion Therapeutics Inc,4185277002,85050000,0,0,0,2
9281,87430,21FEB2024,Kratos Defense & Security Solutions Inc,4197665002,300000006,0,0,0,2
4785,93085,04DEC2019,Omeros Corp,3485709002,49999988.3,0,0,0,2
380,14828,06APR2015,Sage Therapeutics Inc,2740967002,119999985,0,0,0,2
5765,16795,27JUL2020,ShiftPixy Inc,3614242002,12000000,0,0,0,2
4101,14257,12FEB2019,MacroGenics Inc,3346791002,110000000,0,0,0,2
1233,13456,24FEB2016,Tesaro Inc,2975112012,154999915.02,0,0,0,2
11224,18776,10DEC2025,Immunovant Inc,4498445002,550200000,0,0,0,2
3496,17178,14MAY2018,CURO Group Holdings Corp,3244340002,115000000,0,1,0,2
5126,15720,13MAY2020,Edison International Corp,3574674002,799999963.62,1,0,0,2
8494,20294,07MAR2023,Intelligent Bio Solutions Inc,4049969002,2221284,0,0,0,2
821,14145,15JUL2015,Applied Optoelectronics Inc,2792530002,40006866.66,0,0,0,2
8859,14329,09AUG2023,Aramark Corp,4118042002,845174238.75,0,0,0,2
